# Inner Galaxy CO spectrum toward l=35, b=0
#    v        TB
  -84.500    0.027
  -83.200    0.011
  -81.900    0.024
  -80.600    0.156
  -79.300    0.264
  -78.000    0.223
  -76.700    0.147
  -75.400    0.117
  -74.100    0.091
  -72.800    0.129
  -71.500    0.131
  -70.200    0.139
  -68.900    0.050
  -67.600    0.018
  -66.300    0.071
  -65.000    0.031
  -63.700   -0.114
  -62.400   -0.156
  -61.100   -0.096
  -59.800   -0.131
  -58.500   -0.126
  -57.200   -0.114
  -55.900   -0.006
  -54.600   -0.039
  -53.300   -0.048
  -52.000    0.014
  -50.700   -0.108
  -49.400   -0.181
  -48.100   -0.217
  -46.800   -0.226
  -45.500   -0.037
  -44.200    0.125
  -42.900    0.206
  -41.600    0.136
  -40.300   -0.059
  -39.000   -0.130
  -37.700   -0.066
  -36.400   -0.177
  -35.100   -0.085
  -33.800   -0.093
  -32.500   -0.097
  -31.200    0.172
  -29.900    0.285
  -28.600    0.560
  -27.300    0.551
  -26.000    0.319
  -24.700    0.031
  -23.400    0.037
  -22.100   -0.083
  -20.800   -0.166
  -19.500    0.016
  -18.200    0.163
  -16.900    0.047
  -15.600   -0.099
  -14.300    0.180
  -13.000    0.037
  -11.700   -0.058
  -10.400    0.060
  -9.100    0.118
  -7.800    0.073
  -6.500   -0.024
  -5.200   -0.111
  -3.900   -0.110
  -2.600   -0.075
  -1.300   -0.120
   0.000   -0.030
   1.300    0.072
   2.600    0.095
   3.900    0.124
   5.200   -0.027
   6.500    0.119
   7.800    0.279
   9.100    0.533
  10.400    1.196
  11.700    1.829
  13.000    2.310
  14.300    2.814
  15.600    1.796
  16.900    0.481
  18.200    0.116
  19.500   -0.098
  20.800    0.050
  22.100    0.166
  23.400    0.010
  24.700    0.094
  26.000    0.125
  27.300    0.314
  28.600    0.669
  29.900    1.004
  31.200    1.282
  32.500    1.662
  33.800    1.877
  35.100    1.658
  36.400    1.358
  37.700    1.450
  39.000    2.866
  40.300    4.334
  41.600    5.101
  42.900    5.044
  44.200    4.158
  45.500    2.837
  46.800    2.115
  48.100    2.305
  49.400    2.247
  50.700    2.116
  52.000    2.191
  53.300    2.319
  54.600    2.477
  55.900    2.720
  57.200    3.003
  58.500    2.750
  59.800    2.026
  61.100    1.325
  62.400    0.571
  63.700    0.346
  65.000    0.561
  66.300    0.768
  67.600    0.812
  68.900    0.984
  70.200    0.851
  71.500    0.929
  72.800    1.121
  74.100    1.314
  75.400    1.779
  76.700    2.138
  78.000    2.078
  79.300    1.685
  80.600    1.331
  81.900    1.081
  83.200    1.296
  84.500    1.640
  85.800    1.418
  87.100    1.095
  88.400    0.731
  89.700    0.385
  91.000    0.209
  92.300    0.206
  93.600    0.178
  94.900    0.292
  96.200    0.545
  97.500    0.545
  98.800    0.313
  100.100    0.105
  101.400    0.153
  102.700    0.132
  104.000    0.276
  105.300    0.420
  106.600    0.490
  107.900    0.242
  109.200   -0.023
  110.500    0.088
  111.800   -0.057
  113.100   -0.116
  114.400   -0.060
  115.700   -0.043
  117.000   -0.021
  118.300    0.005
  119.600    0.149
  120.900    0.003
  122.200    0.002
  123.500    0.065
  124.800   -0.026
  126.100   -0.033
  127.400   -0.027
  128.700    0.009
  130.000    0.048
  131.300    0.040
  132.600   -0.007
  133.900   -0.052
  135.200   -0.027
  136.500   -0.004
  137.800    0.028
  139.100    0.004
  140.400   -0.029
  141.700   -0.010
  143.000   -0.028
  144.300   -0.109
  145.600   -0.128
  146.900   -0.080
  148.200    0.020
  149.500    0.028
  150.800    0.001
  152.100    0.144
  153.400    0.199
  154.700    0.077
  156.000   -0.032
  157.300    0.021
  158.600    0.101
  159.900    0.111
  161.200    0.172
  162.500    0.124
  163.800    0.055
  165.100    0.064
  166.400    0.116
  167.700    0.134
  169.000    0.045
