# Inner Galaxy HI spectrum toward l=35, b=0
#    v        TB
  -99.092    0.071
  -97.803    0.090
  -96.515    0.039
  -95.227    0.016
  -93.939   -0.021
  -92.651   -0.071
  -91.362   -0.076
  -90.074    0.036
  -88.786    0.022
  -87.498   -0.004
  -86.209    0.038
  -84.921    0.107
  -83.633    0.027
  -82.345   -0.008
  -81.057    0.119
  -79.768    0.051
  -78.480    0.148
  -77.192    0.128
  -75.904   -0.016
  -74.616    0.020
  -73.327    0.117
  -72.039    0.290
  -70.751    0.284
  -69.463    0.255
  -68.174    0.438
  -66.886    0.490
  -65.598    0.673
  -64.310    0.862
  -63.022    1.264
  -61.733    1.637
  -60.445    2.288
  -59.157    3.269
  -57.869    4.448
  -56.581    6.396
  -55.292    9.114
  -54.004   12.275
  -52.716   15.444
  -51.428   19.322
  -50.139   24.357
  -48.851   28.320
  -47.563   28.726
  -46.275   25.424
  -44.987   21.206
  -43.698   17.686
  -42.410   15.330
  -41.122   14.647
  -39.834   16.061
  -38.545   19.369
  -37.257   24.917
  -35.969   31.545
  -34.681   37.377
  -33.393   40.426
  -32.104   41.099
  -30.816   41.567
  -29.528   43.499
  -28.240   46.960
  -26.952   50.652
  -25.663   53.175
  -24.375   53.199
  -23.087   49.906
  -21.799   43.888
  -20.510   37.108
  -19.222   31.805
  -17.934   29.629
  -16.646   29.601
  -15.358   29.628
  -14.069   28.121
  -12.781   24.749
  -11.493   21.206
  -10.205   17.785
  -8.917   14.585
  -7.628   11.935
  -6.340   10.568
  -5.052   11.235
  -3.764   14.406
  -2.475   18.569
  -1.187   23.290
   0.101   30.721
   1.389   37.631
   2.677   40.988
   3.966   39.535
   5.254   35.676
   6.542   33.453
   7.830   35.680
   9.118   43.118
  10.407   53.110
  11.695   60.303
  12.983   60.774
  14.271   61.086
  15.560   66.966
  16.848   66.864
  18.136   63.445
  19.424   60.736
  20.712   60.778
  22.001   65.301
  23.289   72.543
  24.577   79.499
  25.865   82.932
  27.153   81.871
  28.442   81.141
  29.730   88.910
  31.018   99.970
  32.306   106.512
  33.595   106.962
  34.883   106.649
  36.171   105.857
  37.459   104.607
  38.747   100.722
  40.036   90.941
  41.324   79.960
  42.612   80.129
  43.900   86.577
  45.188   94.219
  46.477   102.483
  47.765   106.186
  49.053   104.373
  50.341   97.973
  51.630   92.268
  52.918   89.085
  54.206   86.660
  55.494   84.220
  56.782   82.258
  58.071   81.474
  59.359   81.629
  60.647   79.336
  61.935   73.369
  63.223   65.312
  64.512   56.951
  65.800   51.155
  67.088   47.713
  68.376   47.023
  69.665   48.058
  70.953   50.666
  72.241   54.520
  73.529   58.719
  74.817   61.532
  76.106   63.719
  77.394   65.373
  78.682   65.575
  79.970   64.318
  81.259   62.789
  82.547   62.519
  83.835   63.403
  85.123   65.551
  86.411   68.231
  87.700   69.089
  88.988   68.037
  90.276   67.494
  91.564   67.734
  92.852   67.559
  94.141   66.475
  95.429   64.708
  96.717   62.619
  98.005   59.660
  99.294   55.011
  100.582   48.310
  101.870   40.254
  103.158   32.797
  104.446   27.018
  105.735   21.885
  107.023   16.613
  108.311   11.880
  109.599    8.242
  110.887    5.684
  112.176    4.187
  113.464    3.109
  114.752    2.285
  116.040    1.774
  117.329    1.390
  118.617    1.128
  119.905    1.089
  121.193    0.553
  122.481    0.387
  123.770    0.426
  125.058    0.392
  126.346    0.363
  127.634    0.336
  128.922    0.302
  130.211    0.134
  131.499    0.124
  132.787    0.133
  134.075    0.154
  135.364   -0.022
  136.652    0.106
  137.940    0.034
  139.228    0.048
  140.516    0.130
  141.805    0.122
  143.093    0.101
  144.381    0.086
  145.669    0.068
  146.957    0.050
  148.246    0.035
  149.534   -0.034
  150.822   -0.009
  152.110    0.016
  153.399   -0.007
  154.687   -0.020
  155.975    0.034
  157.263    0.048
  158.551   -0.040
  159.840    0.008
  161.128    0.066
  162.416   -0.021
  163.704    0.045
  164.992    0.042
  166.281   -0.004
  167.569    0.059
  168.857    0.033
  170.145    0.059
  171.434   -0.037
  172.722   -0.018
  174.010   -0.010
  175.298   -0.058
  176.586    0.021
  177.875    0.028
  179.163   -0.014
  180.451   -0.054
  181.739   -0.018
  183.027   -0.064
  184.316    0.038
  185.604   -0.040
  186.892   -0.032
  188.180   -0.094
  189.469   -0.043
  190.757    0.028
  192.045   -0.065
  193.333   -0.023
  194.621    0.052
  195.910   -0.060
  197.198   -0.025
  198.486    0.013
  199.774   -0.022
