#    v     CO       13CO
    1.2   -1.324    0.042
    1.4   -0.065   -0.003
    1.6    0.117    0.092
    1.8   -0.281    0.043
    2.0   -0.762   -0.032
    2.2   -1.637   -0.096
    2.4   -1.097   -0.283
    2.6    0.827   -0.122
    2.8   -0.177   -0.107
    3.0    0.354   -0.293
    3.2    0.030   -0.114
    3.4   -0.319   -0.030
    3.6   -0.978    0.054
    3.8   -0.567    0.159
    4.0   -2.408   -0.126
    4.2    0.430   -0.127
    4.4    1.310    0.071
    4.6   -0.488   -0.123
    4.8   -0.588   -0.048
    5.0    0.640   -0.078
    5.2    0.970    0.115
    5.4    2.130    0.087
    5.6    0.424    0.167
    5.8    1.331    0.119
    6.0   -1.235   -0.159
    6.2   -0.399    0.046
    6.4   -0.839    0.020
    6.6   -0.666   -0.103
    6.8   -0.901    0.134
    7.0    0.053   -0.116
    7.2    0.095    0.127
    7.4    1.805    0.330
    7.6   -1.457   -0.015
    7.8   -0.248   -0.046
    8.0   -0.034   -0.092
    8.2    0.240    0.255
    8.4    0.578   -0.003
    8.6   -1.076   -0.001
    8.8    0.527   -0.132
    9.0    0.942   -0.131
    9.2   -0.427    0.264
    9.4    1.399    0.319
    9.6    2.703    0.316
    9.8    3.401    0.653
   10.0    2.841    0.144
   10.2    3.782    0.329
   10.4    6.227   -0.329
   10.6    5.913    0.430
   10.8    7.081    0.285
   11.0    7.663    0.381
   11.2    7.271    0.037
   11.4    9.994    0.335
   11.6   10.824    0.619
   11.8   12.439    1.237
   12.0   14.288    1.683
   12.2   15.456    2.337
   12.4   16.771    3.799
   12.6   18.638    4.429
   12.8   18.100    5.663
   13.0   19.682    6.347
   13.2   22.397    7.018
   13.4   21.914    7.697
   13.6   22.471    7.924
   13.8   21.085    7.916
   14.0   20.668    7.032
   14.2   18.122    6.033
   14.4   17.697    4.979
   14.6   14.511    3.859
   14.8   12.980    2.947
   15.0    9.775    2.174
   15.2    8.179    1.618
   15.4    7.677    1.008
   15.6    4.116    0.486
   15.8    4.339    0.895
   16.0    2.780    0.456
   16.2    2.652    0.386
   16.4    0.654   -0.111
   16.6    0.901   -0.056
   16.8    0.955    0.182
   17.0    1.491    0.053
   17.2    0.712   -0.165
   17.4    1.293    0.090
   17.6    1.010    0.068
   17.8    1.961   -0.277
   18.0    1.345   -0.113
   18.2    0.843    0.137
   18.4   -0.632    0.113
   18.6   -0.571   -0.078
   18.8   -1.363    0.103
   19.0   -0.654   -0.050
   19.2    1.276   -0.140
   19.4    0.032   -0.151
   19.6   -0.586   -0.394
   19.8   -1.788    0.039
   20.0   -1.242    0.034
   20.2   -1.405   -0.279
   20.4    0.149   -0.020
   20.6   -0.529    0.006
   20.8    0.821   -0.286
   21.0    1.532   -0.041
   21.2   -2.302    0.147
   21.4   -0.105   -0.126
   21.6   -0.437    0.043
   21.8   -0.077   -0.100
